unit_id,ecephys_structure_acronym,stimulus,block,R_tot,tau_R,tau_single,tau_double,firing_rate,median_ISI,CV_ISI,structure_name,layer
951031716,VISl,spontaneous,averaged,0.09984143009043546,0.039301510771663245,0.40074364623030695,0.2977067182686577,7.666285628364056,0.033203125,2.282122,LM,4
951031794,VISal,spontaneous,averaged,0.09034955284249002,0.3916674695697552,2.3350499972162937,2.3348886783869474,0.8749402425615811,0.33911133,3.512079,AL,6
951031814,VISl,spontaneous,averaged,0.03692398651682095,0.005386447517906794,0.4082222457806386,0.026401224507327025,26.640592666359332,0.01953125,1.3283867,LM,2/3
951031863,VISl,spontaneous,averaged,0.039521562743005084,0.06909751894142681,0.296446198532718,0.2932175860962858,0.4471447233739331,0.6816406,1.6995126,LM,2/3
951031903,VISl,spontaneous,averaged,0.03587866054745915,0.019702449214421613,0.012338002571461115,0.007198498186033892,0.12184975482379486,3.1669922,1.5980127,LM,2/3
951031910,VISal,spontaneous,averaged,0.19456328469891798,0.0955410330839511,2.6241490075507685,2.6241557673643046,2.9949999741422113,0.078125,4.6442113,AL,5
951031918,VISal,spontaneous,averaged,0.04245103331152233,0.29048426724321424,2.52170770200439,2.202230994698183,3.773997218838012,0.140625,2.7993197,AL,5
951031991,VISrl,spontaneous,averaged,0.3377403420555286,0.0019249999999999996,0.13047271987549255,0.08501073085741546,0.3238356704689852,0.0126953125,2.5385704,RL,6
951032040,VISal,spontaneous,averaged,0.08131645229840112,0.15226574812510577,1.8691854733064557,1.8691951664327595,2.1112223196368003,0.15039062,2.469091,AL,5
951032058,VISal,spontaneous,averaged,0.13659682470437903,0.09485170164337217,0.6984269674836877,0.6984267330140662,1.2387817905918392,0.11450195,2.7849185,AL,5
951032066,VISal,spontaneous,averaged,0.11420711087844354,0.1174120856684376,1.288845143680048,1.20025910039039,2.315618575480149,0.104003906,2.8957303,AL,5
951032154,VISrl,spontaneous,averaged,0.11067542648401613,0.010858721347467607,0.16790485864743127,0.11378069983604605,14.962540631641202,0.019042969,2.1123803,RL,5
951032164,VISrl,spontaneous,averaged,0.021165134468606815,0.030401753484301516,0.3886452735431122,0.13988100978224952,10.900515630011457,0.05517578,1.277712,RL,5
951032179,VISal,spontaneous,averaged,0.09365040110971934,0.11432350767960323,0.6381079553127911,0.5711525072472226,1.2040435157493563,0.16821289,2.3466651,AL,5
951032197,VISrl,spontaneous,averaged,0.02646425545520367,0.007142345919368371,1.2718011800034261,0.2912710993763465,16.34392603748502,0.047851562,0.85574126,RL,5
951032222,VISal,spontaneous,averaged,0.03061040479412483,0.10497458650539865,0.9424103063341561,0.8651406183035925,6.575437585708938,0.1015625,1.5643568,AL,5
951032230,VISal,spontaneous,averaged,0.20196567878393074,0.09186425668374056,1.1953229406543842,0.8508533836423084,0.500986327670481,0.15527344,2.7905717,AL,5
951032274,VISal,spontaneous,averaged,0.05454800872030702,0.06926100361783927,-6783.217729113622,0.7074850094130525,13.52850078855129,0.041015625,1.6082175,AL,5
951032309,VISal,spontaneous,averaged,0.08101210423296115,0.09095977677589719,0.4078484053601844,0.40717862667676064,2.0740228916545465,0.12060547,2.2923276,AL,5
951032339,VISrl,spontaneous,averaged,0.04793124554039914,0.025819241780732537,0.3929846685414881,0.19066184364225847,22.082630475528287,0.033203125,1.0215183,RL,4
951032356,VISrl,spontaneous,averaged,0.028265781705062044,0.04164078990177066,0.4055160242495836,0.20351506020519278,9.863268729756406,0.06298828,1.3309232,RL,4
951032390,VISal,spontaneous,averaged,0.05106590067986352,0.16909334473650803,-374.09643580137595,2.8876664319128267,8.626736033190856,0.083984375,1.0397259,AL,5
951032392,VISrl,spontaneous,averaged,0.037265764801094024,0.017402439352446564,0.16737631655716254,0.106536538009866,14.792313676264005,0.05126953,0.88696176,RL,4
951032418,VISrl,spontaneous,averaged,0.07161604990947527,0.041142384315282395,0.3392644239341855,0.33926490496167233,2.0604247616167832,0.119140625,1.9584708,RL,4
951032419,VISl,spontaneous,averaged,0.20052796958679078,0.12752250985950114,2.4353061233635818,5.646236868034963,0.8792475115809693,0.13134766,4.2211723,LM,6
951032435,VISal,spontaneous,averaged,0.052261365046821114,0.05837545146101343,1.366773629110114,1.366871129832144,7.496562148632154,0.09765625,1.0678778,AL,5
951032443,VISal,spontaneous,averaged,0.04850847211352941,0.04176947224957186,2.0892599249981703,1.768384196382893,6.444870396172223,0.11376953,0.9347565,AL,5
951032474,VISal,spontaneous,averaged,0.043319565831877946,0.20601915415090627,1.9062587981519696,1.0376836085202132,2.450788338566207,0.17773438,1.9755477,AL,5
951032492,VISl,spontaneous,averaged,0.056723349498142464,0.12174714938788528,0.6169058066691616,0.5961893238498871,1.9344317383533276,0.18554688,1.9385196,LM,5
951032518,VISal,spontaneous,averaged,0.046152495340055284,0.19419733987973292,0.6908323820064386,0.690875960764779,1.016419053439566,0.3125,2.0315723,AL,4
951032519,VISl,spontaneous,averaged,0.0702614611611396,0.07033415611122269,0.2051189087912353,0.20512015439657844,0.438288537294874,0.45922852,2.3482277,LM,4
951032562,VISal,spontaneous,averaged,0.025838540881424475,0.22297913803564368,1.168098646590614,0.9871206290519818,0.6072067172970782,0.67871094,1.4617693,AL,4
951032579,VISal,spontaneous,averaged,0.03296108829619761,0.1414014794902062,0.896865219331348,0.8967881033003894,2.6528491928211047,0.20629883,1.3771495,AL,4
951032585,VISrl,spontaneous,averaged,0.11321346480953313,0.01066296295011543,0.5102580891497104,0.0908034755270047,14.663242256542235,0.018554688,2.1221519,RL,2/3
951032588,VISal,spontaneous,averaged,0.07744518240704558,0.07764618484542304,0.6347418746453075,0.5324300311561898,2.312089873747425,0.1184082,2.168488,AL,4
951032610,VISal,spontaneous,averaged,0.0674469087337706,0.06361241507479658,0.4470183637005751,0.44701833443081357,4.787959415883615,0.07763672,2.0046167,AL,4
951032625,VISal,spontaneous,averaged,0.1011568810859773,0.06309564654474381,0.74515859086244,0.6309189285772393,3.445622445982211,0.083496094,2.6060646,AL,4
951032666,VISal,spontaneous,averaged,0.046452905675625766,0.07134806559826298,0.4527678761750353,0.4527735437040409,3.1069215318375507,0.12695312,1.7524807,AL,4
951032669,VISl,spontaneous,averaged,0.06024378505157321,0.09881676372055409,0.6082542962320945,0.6044158210603402,1.8127577858776664,0.17089844,1.7810903,LM,5
951032681,VISl,spontaneous,averaged,0.0540769473237488,0.0954545148285969,1.1330857525412485,0.6520235997168652,3.402396538899505,0.13134766,1.6112056,LM,4
951032700,VISal,spontaneous,averaged,0.07092417492161482,0.056167738950954095,0.3826288050369961,0.3820367568002059,1.3415464893327138,0.17285156,1.9573636,AL,4
951032738,VISal,spontaneous,averaged,0.042322470166403996,0.004078557171783718,0.726930482520644,0.05210917924312766,0.49672616452434687,0.732666,1.5020565,AL,2/3
